letter,octave,velocity,time_on,time_off,duration,note_number
F#,3,50,9120,9170,50,42
B,2,50,9120,9170,50,35
E,3,40,9180,9230,50,40
E,3,50,9240,9290,50,40
F#,3,50,9240,9290,50,42
E,3,40,9300,9350,50,40
E,3,70,9360,9410,50,40
A#,5,50,9360,9410,50,70
C#,3,60,9360,9410,50,37
F#,3,50,9360,9410,50,42
D,3,40,9360,9410,50,38
E,3,40,9420,9470,50,40
E,3,50,9480,9530,50,40
F#,3,50,9480,9530,50,42
E,3,40,9540,9590,50,40
E,3,50,9600,9650,50,40
B,2,50,9600,9650,50,35
E,3,40,9660,9710,50,40
E,3,50,9720,9770,50,40
F#,3,50,9720,9770,50,42
E,3,40,9780,9830,50,40
E,3,70,9840,9890,50,40
A#,5,50,9840,9890,50,70
C#,3,60,9840,9890,50,37
F#,3,50,9840,9890,50,42
D,3,40,9840,9890,50,38
E,3,40,9900,9950,50,40
E,3,50,9960,10010,50,40
F#,3,50,9960,10010,50,42
B,2,40,9960,10010,50,35
E,3,40,10020,10070,50,40
E,3,50,10080,10130,50,40
F#,3,50,10080,10130,50,42
B,2,50,10080,10130,50,35
E,3,40,10140,10190,50,40
E,3,50,10200,10250,50,40
F#,3,50,10200,10250,50,42
E,3,40,10260,10310,50,40
E,3,70,10320,10370,50,40
A#,5,50,10320,10370,50,70
C#,3,60,10320,10370,50,37
F#,3,50,10320,10370,50,42
D,3,40,10320,10370,50,38
E,3,40,10380,10430,50,40
E,3,50,10440,10490,50,40
F#,3,50,10440,10490,50,42
E,3,40,10500,10550,50,40
E,3,50,10560,10610,50,40
B,2,50,10560,10610,50,35
E,3,40,10620,10670,50,40
E,3,50,10680,10730,50,40
F#,3,50,10680,10730,50,42
E,3,40,10740,10790,50,40
E,3,70,10800,10850,50,40
A#,5,50,10800,10850,50,70
C#,3,60,10800,10850,50,37
F#,3,50,10800,10850,50,42
D,3,40,10800,10850,50,38
E,3,40,10860,10910,50,40
E,3,50,10920,10970,50,40
F#,3,50,10920,10970,50,42
B,2,40,10920,10970,50,35
E,3,40,10980,11030,50,40
E,3,50,11040,11090,50,40
F#,3,50,11040,11090,50,42
B,2,50,11040,11090,50,35
E,3,40,11100,11150,50,40
E,3,50,11160,11210,50,40
F#,3,50,11160,11210,50,42
E,3,40,11220,11270,50,40
E,3,70,11280,11330,50,40
A#,5,50,11280,11330,50,70
C#,3,60,11280,11330,50,37
F#,3,50,11280,11330,50,42
D,3,40,11280,11330,50,38
E,3,40,11340,11390,50,40
E,3,50,11400,11450,50,40
F#,3,50,11400,11450,50,42
E,3,40,11460,11510,50,40
E,3,50,11520,11570,50,40
B,2,50,11520,11570,50,35
E,3,40,11580,11630,50,40
E,3,50,11640,11690,50,40
F#,3,50,11640,11690,50,42
E,3,40,11700,11750,50,40
E,3,70,11760,11810,50,40
A#,5,50,11760,11810,50,70
C#,3,60,11760,11810,50,37
F#,3,50,11760,11810,50,42
D,3,40,11760,11810,50,38
E,3,40,11820,11870,50,40
E,3,50,11880,11930,50,40
F#,3,50,11880,11930,50,42
B,2,40,11880,11930,50,35
E,3,40,11940,11990,50,40
E,3,50,12000,12050,50,40
F#,3,50,12000,12050,50,42
B,2,50,12000,12050,50,35
E,3,40,12060,12110,50,40
E,3,50,12120,12170,50,40
F#,3,50,12120,12170,50,42
E,3,40,12180,12230,50,40
E,3,70,12240,12290,50,40
A#,5,50,12240,12290,50,70
C#,3,60,12240,12290,50,37
F#,3,50,12240,12290,50,42
