letter,octave,velocity,time_on,time_off,duration,note_number
D,4,127,54720,54848,128,50
C#,4,127,54840,54967,127,49
G,3,127,54960,55064,104,43
A,3,127,55080,55198,118,45
A,3,127,55320,55415,95,45
A,3,127,55440,55567,127,45
D,4,127,55680,55815,135,50
C#,4,127,55800,55936,136,49
G,3,127,55920,56023,103,43
A,3,127,56040,56146,106,45
A,3,127,56280,56354,74,45
A,3,127,56400,56521,121,45
F#,3,127,56520,56626,106,42
G,3,127,56640,56757,117,43
B,3,127,56880,56994,114,47
G,3,127,57000,57121,121,43
F#,3,127,57480,57589,109,42
G,3,127,57611,57727,116,43
B,3,127,57840,57954,114,47
G,3,127,57962,58107,145,43
D,4,127,58560,58685,125,50
C#,4,127,58680,58827,147,49
G,3,127,58800,58923,123,43
A,3,127,58920,59015,95,45
A,3,127,59160,59260,100,45
A,3,127,59280,59398,118,45
D,4,127,59520,59644,124,50
C#,4,127,59640,59772,132,49
G,3,127,59760,59873,113,43
A,3,127,59880,59997,117,45
A,3,127,60120,60224,104,45
A,3,127,60240,60349,109,45
D,4,127,60480,60608,128,50
C#,4,127,60600,60727,127,49
G,3,127,60720,60824,104,43
A,3,127,60840,60958,118,45
A,3,127,61080,61175,95,45
A,3,127,61200,61327,127,45
D,4,127,61440,61575,135,50
C#,4,127,61560,61696,136,49
G,3,127,61680,61783,103,43
A,3,127,61800,61906,106,45
A,3,127,62040,62114,74,45
A,3,127,62160,62281,121,45
F#,3,127,62280,62386,106,42
G,3,127,62400,62517,117,43
B,3,127,62640,62754,114,47
G,3,127,62760,62881,121,43
F#,3,127,63240,63349,109,42
G,3,127,63371,63487,116,43
B,3,127,63600,63714,114,47
G,3,127,63722,63867,145,43
D,4,127,64320,64413,93,50
D,5,127,64560,64680,120,62
A,4,127,64680,64777,97,57
B,4,127,64920,65027,107,59
C,5,127,65040,65157,117,60
B,4,127,65160,65284,124,59
D,4,127,65280,65386,106,50
D,5,127,65520,65641,121,62
A,4,127,65640,65732,92,57
F,5,127,65880,66030,150,65
E,5,127,66000,66126,126,64
D,4,127,66240,66331,91,50
D,5,127,66480,66604,124,62
A,4,127,66600,66703,103,57
B,4,127,66840,66971,131,59
C,5,127,66960,67100,140,60
B,4,127,67080,67198,118,59
D,4,127,67200,67305,105,50
D,4,127,67546,67610,64,50
G,4,127,67793,67856,63,55
A,4,127,67824,67948,124,57
D,5,127,67915,68059,144,62
D,4,127,68160,68272,112,50
D,5,127,68400,68525,125,62
A,4,127,68520,68603,83,57
B,4,127,68760,68846,86,59
C,5,127,68880,69016,136,60
B,4,127,69000,69136,136,59
D,4,127,69120,69242,122,50
D,5,127,69360,69479,119,62
A,4,127,69480,69563,83,57
F,5,127,69720,69860,140,65
E,5,127,69840,69961,121,64
D,4,127,70080,70189,109,50
D,5,127,70320,70432,112,62
A,4,127,70440,70532,92,57
B,4,127,70680,70800,120,59
C,5,127,70800,70963,163,60
B,4,127,70920,71045,125,59
D,4,127,71040,71166,126,50
G,4,127,71160,71319,159,55
